,Portfolio,stock A
1/31/17,0.117586485,0.103696086
2/28/17,0.006824182,0.403299402
3/31/17,-0.146391698,0.623876818
4/28/17,0.299748357,0.030552741
5/31/17,0.313486801,0.221439529
6/30/17,0.277562971,-0.13290755
7/31/17,-0.020673421,-0.210354233
8/31/17,0.319342232,0.093193077
9/29/17,0.11660581,0.091658452
10/31/17,-0.02218341,0.462758932
11/30/17,-0.290670299,0.613561537
12/29/17,0.156978655,-0.039048933
1/31/18,0.396589873,-0.218638751
2/28/18,0.434572902,-0.419910417
3/29/18,-0.254341171,0.76978299
4/30/18,-0.161698732,0.633225896
5/31/18,0.365224083,-0.180414311
6/29/18,-0.22451317,0.470184224
7/31/18,0.192953454,-0.068234648
8/31/18,0.134667346,0.018155262
9/28/18,0.101019401,-0.053513908
10/31/18,-0.084352969,0.332786324
11/30/18,-0.202686475,0.436285447
12/31/18,0.367578466,-0.403743771
1/31/19,-0.296710254,0.529336763
2/28/19,0.590218937,0.093243874
3/29/19,-0.132639354,0.170798497
4/30/19,-0.013244495,0.57829022
5/31/19,-0.060763893,0.255258903
6/28/19,0.204688846,0.015718797
7/31/19,0.190456249,-0.145958195
8/30/19,-0.312483912,0.502940871
9/30/19,-0.053498503,0.619292077
10/31/19,0.091400446,-0.005421172
11/29/19,-0.30026227,0.175109616
12/31/19,0.268354221,-0.144703695
1/31/20,0.356623144,-0.204985536
2/28/20,0.180434721,0.233082175
3/31/20,0.073504082,0.034168245
4/30/20,-0.055073361,0.235063608
5/29/20,0.496594188,0.148712029
6/30/20,0.118788207,0.180205577
7/31/20,0.083840691,0.344844695
8/31/20,0.199406339,0.013524311
9/30/20,0.324580857,-0.02281411
10/30/20,-0.463809853,0.791710144
11/30/20,-0.015139067,0.16857073
12/31/20,-0.064932988,0.453739962
1/29/21,0.02692611,0.214082458
2/26/21,0.390138896,-0.138253283
3/31/21,0.181711943,0.31058307
4/30/21,-0.058170201,0.081931593
5/28/21,-0.192837751,0.528823615
6/30/21,0.441833931,-0.213930948
7/30/21,0.617778139,-0.33543939
8/31/21,0.512479051,-0.25898987
9/30/21,0.181119395,-0.049110373
10/29/21,-0.018631393,0.304884513
11/30/21,0.471760598,-0.283940942
12/30/21,-0.157671368,0.241940979
