Season,Pace
2024-25,97.6
2023-24,100.9
2022-23,101.3
2021-22,100.1
2020-21,98.7
2019-20,100.9
2018-19,103.2
2017-18,100.3
2016-17,98.5
2015-16,95.6
2014-15,94.0
2013-14,98.7
2012-13,94.4
2011-12,90.5
2010-11,90.7
2009-10,92.8
2008-09,94.3
2007-08,95.6
2006-07,93.5
2005-06,90.9
2004-05,90.8
2003-04,92.3
2002-03,92.5
2001-02,92.1
2000-01,91.7
1999-00,93.3
1998-99,91.6
1997-98,93.6
1996-97,91.1
1995-96,92.4
1994-95,95.2
1993-94,95.5
1992-93,96.2
1991-92,92.5
1990-91,94.1
1989-90,96.3
1988-89,100.1
1987-88,99.1
1986-87,101.6
1985-86,102.7
1984-85,103.2
1983-84,103.7
1982-83,103.8
1981-82,103.1
1980-81,102.7
1979-80,104.1
1978-79,105.9
1977-78,106.1
1976-77,104.7
1975-76,108.0
1974-75,106.4
1973-74,111.7
1972-73,112.0
1971-72,116.9
1970-71,115.7
1969-70,113.9
1968-69,112.6
1967-68,118.1
1966-67,123.0
1965-66,121.2
1964-65,113.9
1963-64,111.6
1962-63,117.8
1961-62,123.3
1960-61,124.9
1959-60,121.2
1958-59,115.5
1957-58,118.8
1956-57,114.8
1955-56,108.0
1954-55,105.5
1953-54,93.5
1952-53,93.7
1951-52,97.2
1950-51,94.8
1949-50,
1948-49,
